manufacture,ASIN,description
American Tourister,B0BTD4FK9G,"VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER "
Wesley Unisex,B07K8KLB3P,"Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue "
EXOTIC Women's,B092VSZ69M,Sling Bag 
ADISA 32,B07NPW84SS,Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women 
Half Moon,B0BLVQ9NTD,Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets 
Zipline Unisex,B08WQ668WJ,Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag 
DZert Kids,B07WSBV3BN,School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years) 
URBAN CARRIER,B09NNYCQ1Q,School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack 
NIVIA Deflate,B07222KX3S,Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag 
Lavie Sport,B0992JCN1W,Lino M Duffle Wheeler Bag for Travel | 2 Wheel Luggage Bag | Travel Bag with Adjustable Handle 
Gear Cello,B00VWM11HQ,26 Ltrs Navy Blue and Beige Casual Backpack (BKPTRMP520522) 
ADISA Light,B07F3X45WZ,Weight Laptop Backpack 32 Ltrs 
POLESTAR Vintage,B081GSQ9D9,"15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty "
F Gear,B01F7AX9ZA,Luxur Brown 25 liter Laptop Backpack (2404) 
Lenovo 15.6-inch,B075Y6Y9H5,Casual Laptop Briefcase T210 
Half Moon,B08PSX1LN9,45L Hammer Waterproof Laptop Travelling Rucksack Trekking Backpack for Travel Journey bags for Men Women Boys & Girls with 17.3inch Laptop Compartment & Rain cover 
POLICE Backpack,B09CQ5T3LN,for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black 
Luv Lap,B099ZZ57FT,"LuvLap Baby Breast Milk Storage Bags (Pack of 25), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent "
Lavie Women's,B07MXNWTB2,Nova Tote Bag | Ladies Purse Handbag 
Genie Heartbeat,B097JJFF6Z,"Backpack for Women 3 compartments, School Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. "
LIBRA LED,B0C944JRPV,"Motorcycle Hard Shell Backpack, Waterproof Backpack with Programmable and Color Screen, DIY Smart LED Display, Travel Backpack, Laptop Bag for Men "
F Gear,B08NYGBDB8,Miles Guc Black Sports Waist Bag (3681) 
Lunar's V-Line,B08BP5CYDV,"Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty "
Gear Vintage2,B07G44G1DC,28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women (Black) 
RNTR® Cosmetic,B0C74Q2YWS,"Pouch, Make up Bag for Home & Travel, Toiletry Bag for Cosmetics, Brushes, Accessories Set of 3 - Wash Bag - Light Pink and Black (Pink) "
WILDHORN 31L,B09QL66G55,"Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags "
Half Moon,B0BJ32LQ6X,Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover 
Bennett™ Mystic,B09321GJXZ,15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty 
ADISA Laptop,B07G3CG9FC,Backpack 31 Ltrs 
F Gear,B07XMRGQCM,Blackhawk 40 Ltrs Black Laptop Backpack (3178) 
TABELITO Casual,B08Y5S6C2P,"Laptop Backpack 15.6-inch, 25 LTR Water Repellent "
FUR JADEN,B094DGX84G,"Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook "
FATMUG Polyester,B07YFNXC3H,"Foldable Duffle Travel Bag Luggage For Travel, Packing And Storage - Men And Women - (60 L, Black) "
ADISA 32L,B0BPVLXD53,Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey) 
Dyazo Water,B0BRJLWQ6R,"Resistant Camera Bag/Case Shoulder Strap Space for Photography Lens and Accessories Compatible for Nikon, Canon, Sony, Panasonic, Samsung & Other SLR/DSLR etc (Black & Silver) "
Red Lemon,B07XYTZP4Z,Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack 
Amazon Basics,B0C3RDFPVN,"Laptop Messenger Bag with Adjustable Shoulder Strap, Padded Compartment & Storage Pockets, Lightweight, Water-Resistant, Travel-Friendly, Fits Up To 15.6"" Laptops (Unisex, Black & Grey) "
ZOUK Mughal,B09DF2NPCS,Art Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with Double Handles 
ADISA 31,B0BXJRQRJM,Ltrs Casual Backpack School College Bag Pack 
SPENZ BAGS,B0C3RNFHHV,"Travel Laptop Backpack for Women & Men|Carry On Bag, College & School Students Bookbag With Raincover "
Wildcraft Work,B07FC4D9B5,Packs'18 21 Ltrs Black Laptop Backpack (Streak Plus) 
F Gear,B097K6KD7W,Colorado Grey Orange 39 Ltrs Laptop Backpack (3814) 
Tommy Hilfiger,B07N99SXB1,Connor Laptop Backpack 
Dybbuk 25,B0C5HLBY7D,Ltrs Laptop Backpack for Office & Travel Use for Men & Women | Water Resistance Bag | Fit Up to 15.6-inch Laptop 
Lunar's Bingo,B08YZ5XY31,- 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty 
PAZZO Alto,B07VT3F795,"40L Casual Backpack - 3 Compartment Travel Backpack, College|School Bag with 1 Year Warranty "
NORTH ZONE,B0BW95MXRJ,Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) 
DZert Kids,B07BNS3KNX,School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years) 
Half Moon,B09GG53CSL,34 L Water Resistant 15.6 inch Laptop Bag/Backpack for Men Women Boys Girls/Office School College with Padded Laptop Compartment (Grey) 
Martucci Jersey,B0BRJRVH6D,45L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack 
