product_name,price,rating,Number_of_Reviews,Product_url
"Skybags Unisex Polyester Solid Pattern Hustle Df 55 (Orange, Small)","₹1,590",4.3 out of 5 stars,314,https://www.amazon.in/SKYBAGS-Unisex-Luggage-Duffel-Bag-DFHUS55ONG/dp/B07F342RQD
Gear Eco4 18L Water Resistant School Bag//Backpack/College Bag for Men/Women - Navy Blue,₹494,4.0 out of 5 stars,"4,257",https://www.amazon.in/Gear-Green-Casual-Backpack-BKPECOBP40503/dp/B019HA8DQQ
"uppercase Medium 17 Ltrs Vegan Leather (upto 14 inch) Laptop Backpack 2300EBP1 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,600",4.1 out of 5 stars,503,https://www.amazon.in/uppercase-Backpack-2300EBP1-repellent-sustainable/dp/B0B69M182Q
GOCART WITH G LOGO Laptop Backpack Casual Daypacks Briefcase Convertible Business Travel Rucksack with USB Charging Port Large College School Bookbag Computer Laptop Bag,"₹1,399",3.8 out of 5 stars,"1,452",https://www.amazon.in/GOCART-LOGO-Backpack-Briefcase-Convertible/dp/B0822H451W
AUXTER Premium Sports Gym Duflle Bag with Shoe Compartment for Men and Women,₹454,4.3 out of 5 stars,"1,280",https://www.amazon.in/Auxter-Premium-Sports-Compartment-Black-Green/dp/B08XWBDGMB
30 L Waterproof Laptop/College/School/Office Bag Backpack for Men Women Boys Girls with Rain Cover (Navy_Blue),₹489,4.6 out of 5 stars,6,https://www.amazon.in/Waterproof-Laptop-College-Backpack-Navy_Blue/dp/B0BW9GWPYH
"TRAVALATE Laptop Backpack with USB Charging Port for Travel, Office, Collage, Business Bag, Gift for Men and Women",₹798,3.7 out of 5 stars,54,https://www.amazon.in/TRAVALATE-Backpack-Charging-Collage-Business/dp/B0BLK8CF12
Wolpin Travel Bags for Luggage Spacious with Pockets Foldable Weekender Zipper Duffle Bag for Travel Stylish Handbag Conveniently Carry on Trolley Bag Waterproof (44 x 18 x 35 cm),₹389,4.2 out of 5 stars,29,https://www.amazon.in/Spacious-Foldable-Weekender-Conveniently-Waterproof/dp/B0BTTH69S9
Gear LOGI-Q 27L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Black-White),₹945,5.0 out of 5 stars,2,https://www.amazon.in/Gear-LOGI-Q-Resistant-Backpack-Black-White/dp/B0BTJ2VV17
American Tourister X-Bag Nylon 65 Cms Travel Duffle Bag (Black),"₹2,099",4.3 out of 5 stars,393,https://www.amazon.in/American-Tourister-40X-09-009/dp/B00FRCNTUO
AmazonBasics Nylon 43 Cms Travel Duffle Bag (Red),"₹1,727",4.3 out of 5 stars,"6,825",https://www.amazon.in/AmazonBasics-Ltrs-Large-Duffel-Bag/dp/B01GGNW5AM
Kuber Industries Faux Leather 20 Cms Duffle Bag(CTKTC34727_Grey),₹279,3.8 out of 5 stars,209,https://www.amazon.in/Kuber-Industries-Carrying-Multi-Purpose-CTKTC034727/dp/B083J6HVMB
Gear Workspace 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,₹907,4.2 out of 5 stars,336,https://www.amazon.in/Gear-Workspace-Briefcase-Black-Red-BKPWRPHYD0101/dp/B097KGL2M5
PUMA 0 Ltrs PUMA Black-Camo AOP School Backpack (7735101),"₹1,349",4.3 out of 5 stars,41,https://www.amazon.in/PUMA-Black-Camo-School-Backpack-7735101/dp/B07VN74LRB
